"genus"	"16s"
"Shigella"	1
"Burkholderia"	1
"Eubacterium"	1
"Leuconostoc"	1
"Lactobacillus"	1
"Brachyspira"	1
"Porphyromonas"	1
"Bacteroides"	1
"unclassified Lachnospiraceae"	1
"Staphylococcus"	1
"Corynebacterium"	1
"Bifidobacterium"	1
"Grimontia"	1
"Parabacteroides"	1
"Clostridium"	1
"Capnocytophaga"	1
"Acinetobacter"	1
"Lachnoclostridium"	1
"Bacillus"	1
"Pyramidobacter"	1
"Ruminococcus"	1
"Slackia"	1
"Tatumella"	1
"Brevibacterium"	1
"Yersinia"	1
"Anaerostipes"	1
"Peptoniphilus"	1
"Campylobacter"	1
"unclassified Ruminococcaceae"	1
"Streptococcus"	1
"Rhodococcus"	1
"Lactococcus"	1
"Arthrobacter"	1
"Paenibacillus"	1
"Fusobacterium"	1
"Prevotella"	1
"Faecalitalea"	1
"Pseudomonas"	1
"Odoribacter"	1
"Gemella"	1
"Mycoplasma"	1
"Mitsuokella"	1
"Neisseria"	1
"Marvinbryantia"	1
"Enterococcus"	1
"Proteus"	1
"Tannerella"	1
"Erysipelatoclostridium"	1
"Anaerococcus"	1
"Adlercreutzia"	1
"Granulicatella"	1
"Dialister"	1
"Arcanobacterium"	1
"Actinomyces"	1
"Methylobacterium"	1
"Ruminiclostridium"	1
"Aerococcus"	1
"Clostridioides"	1
"Desulfovibrio"	1
"Veillonella"	1
"Blautia"	1
"Propionibacterium"	1
"Stenotrophomonas"	1
"Exiguobacterium"	1
"Atopobium"	1
"Oxalobacter"	1
"Achromobacter"	1
"Enterobacter"	1
"Holdemanella"	1
"Cedecea"	1
"Bradyrhizobium"	1
"Aeromonas"	1
"Subdoligranulum"	1
"Brevundimonas"	1
"Alfipia"	1
"Trabulsiella"	1
"Providencia"	1
"unclassified Erysipelotrichaceae"	1
"Holdemania"	1
"Haemophilus"	1
"Helicobacter"	1
"Microbacterium"	1
"Eggerthella"	1
"Spirosoma"	1
"Methyloversatilis"	1
"Kingella"	1
"Alistipes"	1
"Anaerobiospirillum"	1
"Akkermansia"	1
"Peptostreptococcus"	1
"Collinsella"	1
"Eikenella"	1
"Alcaligenes"	1
"Hafnia"	1
"Scardovia"	1
"Escherichia"	1
"Dyadobacter"	1
"Kocuria"	1
"Listeria"	1
"Pseudoramibacter"	1
"Serratia"	1
"Olsenella"	1
"Mobiluncus"	1
"Comamonas"	1
"Micromonospora"	1
"Paraprevotella"	1
"Ureaplasma"	1
"Megamonas"	1
"Ctyptobacterium"	1
"Phascolarctobacterium"	1
"Salmonella"	1
"Coprococcus"	1
"Laribacter"	1
"Arcobacter"	1
"Cellulosilyticum"	1
"Filifactor"	1
"Silanimonas"	1
"Halococcus"	1
"Solobacterium"	1
"Aneurinibacillus"	1
"Ochrobactrum"	1
"Faecalibacterium"	1
"Tyzzerella"	1
"Roseburia"	1
"Parvimonas"	1
"Sphingomonas"	1
"unclassified Peptostreptococcaceae"	1
"Acidaminococcus"	1
"Oribacterium"	1
"Curtobacterium"	1
"Actinobacillus"	1
"Gordonia"	1
"Bartonella"	1
"Hungatella"	1
"Pantoea"	1
"Kurthia"	1
"Vibrio"	1
"Aggregatibacter"	1
"unclassified Burkholderiales"	1
"Coprobacillus"	1
"unclassified Melainabacteria"	1
"Paraclostridium"	1
"Rothia"	1
"Ureibacillus"	1
"Pseudobutyrivibrio"	1
"Varibaculum"	1
"Pseudoflavonifractor"	1
"Bulleidia"	1
"Kluyvera"	1
"Mogibacterium"	1
"Tropheryma"	1
"Bordetella"	1
"Methanobrevibacter"	1
"Paracoccus"	1
"Citrobacter"	1
"Kallipyga"	1
"Raoultella"	1
"Brochotrix"	1
"Abiotrophia"	1
"Klebsiella"	1
"Cloacibacillus"	1
"Kytococcus"	1
"Terrisporobacter"	1
"Eggerthia"	1
"Sutterella"	1
"Delftia"	1
"Cetobacterium"	1
"Edwardsiella"	1
"Dysgonomonas"	1
"Mycobacterium"	1
"Butyrivibrio"	1
"Butyricimonas"	1
"Rudanella"	1
"Ralstonia"	1
"Nitrososphaera"	1
"Parasutterella"	1
"Oceanobacillus"	1
"Finegoldia"	1
"Lachnospira"	1
"Yokenella"	1
"Schlesneria"	1
"Moraxella"	1
"Paeniclostridium"	1
"unclassified Clostridiales"	1
"Anaerotruncus"	1
"Gordonibacter"	1
"Anaerobaculum"	1
"Brevibacillus"	1
"Nevskia"	1
"Lysinibacillus"	1
"Kandleria"	1
"Dorea"	1
"Pediococcus"	1
"Cronobacter"	1
"Leptotrichia"	1
"Geobacillus"	1
"Sulfolobus"	1
"Plesiomonas"	1
"unclassified Enterobacteriaceae"	1
"Morganella"	1
"Catenibacterium"	1
"Dermacoccus"	1
"Butyricicoccus"	1
"Roseomonas"	1
"Alloprevotella"	1
"Flavonifractor"	1
"Succinatimonas"	1
"Brachybacterium"	1
"Methanosphaera"	1
"Weissella"	1
"Micrococcus"	1
"Blastococcus"	1
"Acetoanaerobium"	1
"Leminorella"	1
"Methanomassiliicoccus"	1
"Megasphaera"	1
"Mesorhizobium"	1
"Lautropia"	1
"Barnesiella"	1
"Dietzia"	1
"Succinivibrio"	1
"Intestinibacter"	1
"Cellulosimicrobium"	1
"Agrobacterium"	1
"Stoquefichus"	1
"Anaerofustis"	1
"Bilophila"	1
