abbreviation	EC
RE0702C	1.8.1.4
RE0702E	1.8.1.4
RE0702L	1.8.1.4
RE0702M	1.8.1.4
RE0702N	1.8.1.4
RE0827C	1.4.3.6
RE0827X	1.4.3.6
RE0828C	1.4.3.6
RE0828X	1.4.3.6
RE0864C	3.1.2.2
RE0875C	3.1.2.2
RE0908G	3.1.6.2
RE0908R	3.1.6.2
RE0916G	3.1.6.2
RE0916R	3.1.6.2
RE0918G	3.1.6.2
RE0918R	3.1.6.2
RE0919C	2.4.1.17
RE0919R	2.4.1.17
RE0920C	2.4.1.17
RE0920R	2.4.1.17
RE0921C	2.4.1.17
RE0921R	2.4.1.17
RE0922C	2.4.1.17
RE0922R	2.4.1.17
RE0923C	2.4.1.17
RE0923R	2.4.1.17
RE0924C	2.4.1.17
RE0924R	2.4.1.17
RE0925C	2.4.1.17
RE0925R	2.4.1.17
RE0926C	3.2.1.1
RE0926E	3.2.1.20
RE0926E	3.2.1.74
RE0927C	2.4.1.17
RE0927R	2.4.1.17
RE0928C	2.4.1.17
RE0928R	2.4.1.17
RE0935C	3.2.1.1
RE0935E	3.2.1.20
RE0937C	3.1.6.2
RE0938C	3.1.6.2
RE0944C	3.2.1.1
RE0944E	3.2.1.20
RE1050C	1.11.1.7
RE1050L	1.11.1.7
RE1050N	1.11.1.7
RE1062C	3.4.24.16
RE1062M	3.4.24.16
RE1063C	3.4.24.15
RE1064C	3.4.24.15
RE1077C	5.3.99.5
RE1096M	2.4.1.17
RE1096R	2.4.1.17
RE1099G	3.1.6.2
RE1099L	3.1.6.2
RE1099R	3.1.6.2
RE1100C	3.1.6.2
RE1100G	3.1.6.2
RE1100L	3.1.6.2
RE1100R	3.1.6.2
RE1134M	2.4.1.17
RE1134R	2.4.1.17
RE1135C	3.1.6.2
RE1135G	3.1.6.2
RE1135L	3.1.6.2
RE1135R	3.1.6.2
RE1233M	2.6.1.7
RE1234C	2.3.1.57
RE1238X	2.3.1.57
RE1240C	3.2.1.1
RE1254C	1.14.17.1
RE1266C	3.2.1.1
RE1303C	1.11.1.7
RE1308C	1.11.1.7
RE1308M	1.11.1.7
RE1309C	1.11.1.7
RE1309M	3.4.24.16
RE1310C	3.4.24.16
RE1310M	3.4.24.15
RE1311C	3.4.24.15
RE1311M	5.3.99.5
RE1317C	1.1.1.14
RE1342C	1.1.1.21
RE1441G	2.7.1.68
RE1441R	2.7.1.68
RE1447M	3.1.3.66
RE1447N	3.1.3.66
RE1448N	3.1.3.67
RE1448R	3.1.3.67
RE1473C	2.3.2.2
RE1508C	3.1.6.2
RE1514M	6.2.1.3
RE1514X	6.2.1.3
RE1525C	1.1.1.35
RE1526C	1.1.1.35
RE1527C	1.1.1.35
RE1537C	1.5.3.11
RE1537X	1.5.3.11
RE1538C	1.5.3.11
RE1538X	1.5.3.11
RE1539C	1.5.3.11
RE1539X	1.5.3.11
RE1582C	1.14.13.67
RE1582L	1.14.13.67
RE1582R	1.14.13.67
RE1587C	1.14.14.1
RE1587L	1.14.13.67
RE1587R	1.14.13.67
RE1627C	2.1.1.6
RE1628C	2.1.1.6
RE1629C	2.1.1.6
RE1630C	2.1.1.6
RE1630R	2.1.1.6
RE1631C	2.1.1.6
RE1635C	2.5.1.18
RE1635M	2.5.1.18
RE1635R	2.5.1.18
RE1635X	2.5.1.18
RE1651C	1.6.5.5
RE1653C	1.6.5.5
RE1691M	2.8.1.1
RE1699C	2.7.1.21
RE1700C	2.3.1.16
RE1701C	2.3.1.16
RE1702C	2.3.1.16
RE1711M	1.1.1.1
RE1796C	5.3.3.1
RE1796R	5.3.3.1
RE1803C	1.14.13.17
RE1806C	1.14.13.67
RE1806R	1.14.13.67
RE1808R	1.14.13.67
RE1809C	1.14.13.67
RE1809R	1.14.13.67
RE1811C	1.14.13.67
RE1811R	1.14.13.67
RE1812C	1.14.13.67
RE1812R	1.14.13.67
RE1815C	2.5.1.18
RE1815M	2.5.1.18
RE1815R	2.5.1.18
RE1815X	2.5.1.18
RE1816C	2.5.1.18
RE1816M	2.5.1.18
RE1816R	2.5.1.18
RE1816X	2.5.1.18
RE1817C	2.5.1.18
RE1817M	2.5.1.18
RE1817R	2.5.1.18
RE1817X	2.5.1.18
RE1818C	2.5.1.18
RE1818M	2.5.1.18
RE1818R	2.5.1.18
RE1818X	2.5.1.18
RE1819C	1.1.1.184
RE1819M	1.1.1.184
RE1819X	1.1.1.184
RE1826M	5.3.3.1
RE1827C	5.3.3.1
RE1827M	5.3.3.1
RE1829M	1.14.13.67
RE1830C	1.14.13.67
RE1835C	3.1.2.27
RE1835M	3.1.2.2
RE1835X	3.1.2.2
RE1836M	2.3.1.154
RE1836X	2.3.1.154
RE1845C	2.3.1.65
RE1845X	2.3.1.65
RE1846X	2.3.1.65
RE1860C	3.1.4.37
RE1860E	3.1.4.16
RE1897C	2.5.1.46
RE1899C	2.5.1.46
RE1904C	2.5.1.18
RE1904R	2.5.1.18
RE1905C	2.5.1.18
RE1905R	2.5.1.18
RE1906C	2.5.1.18
RE1906R	1.1.1.184
RE1907C	1.1.1.184
RE1916X	2.5.1.18
RE1920C	2.1.1.6
RE1922C	2.1.1.6
RE1927C	3.1.2.2
RE1933C	3.4.22.40
RE1938C	3.1.2.2
RE1938R	3.1.2.2
RE1941C	3.1.2.2
RE1941R	3.1.2.2
RE1942C	2.3.1.154
RE1942R	2.3.1.154
RE1943C	2.3.1.154
RE1943R	2.3.1.65
RE1952C	3.3.2.9
RE1952R	3.3.2.9
RE1952X	3.3.2.9
RE1954C	3.1.4.37
RE1956C	3.3.2.9
RE1956R	3.3.2.9
RE1956X	3.3.2.9
RE1957G	2.7.1.68
RE1957R	2.7.1.68
RE2030M	2.3.1.1
RE2031M	2.3.1.1
RE2032M	2.3.1.1
RE2034C	2.6.1.42
RE2040C	2.3.2.4
RE2041C	2.3.2.4
RE2048N	1.13.11.34
RE2048R	1.13.11.34
RE2049C	2.1.1.6
RE2050C	1.14.99.1
RE2050R	1.14.99.1
RE2051C	3.1.3.4
RE2051G	3.1.3.4
RE2051R	3.1.3.4
RE2067C	3.1.1.2
RE2081C	2.3.1.88
RE2117M	2.3.1.13
RE2124C	2.1.1.6
RE2128C	3.3.2.9
RE2129C	3.3.2.9
RE2131C	2.7.1.68
RE2133C	2.1.1.6
RE2141C	2.3.1.1
RE2146C	2.4.1.17
RE2146R	2.4.1.17
RE2149C	2.4.1.17
RE2149R	2.4.1.17
RE2150C	2.4.1.17
RE2150R	2.4.1.17
RE2151C	2.4.1.17
RE2151R	2.4.1.17
RE2152C	1.14.99.1
RE2154C	1.1.-.-
RE2155R	1.14.99.10
RE2156M	2.3.1.1
RE2235C	1.14.13.-
RE2235C	1.14.14.1
RE2235R	1.14.13.-
RE2235R	1.14.14.1
RE2240C	1.14.13.126
RE2249C	2.3.1.13
RE2250C	2.1.1.6
RE2251C	2.1.1.6
RE2252C	2.1.1.6
