"species.names"	"rnamean"
"Abiotrophia_defectiva"	1
"Achromobacter_xylosoxidans"	NA
"Acidaminococcus_fermentans"	6
"Acidaminococcus_intestini"	3
"Acidaminococcus_sp"	1
"Acinetobacter_baumannii"	NA
"Acinetobacter_calcoaceticus"	2
"Acinetobacter_haemolyticus"	2
"Acinetobacter_johnsonii"	1
"Acinetobacter_junii"	1
"Acinetobacter_lwoffii"	5
"Acinetobacter_pittii"	6
"Acinetobacter_radioresistens"	5
"Actinobacillus_pleuropneumoniae"	9
"Actinomyces_cardiffensis"	1
"Actinomyces_georgiae"	NA
"Actinomyces_graevenitzii"	1
"Actinomyces_naeslundii"	3
"Actinomyces_odontolyticus"	2
"Actinomyces_oris"	1
"Actinomyces_turicensis"	4
"Actinomyces_urogenitalis"	NA
"Actinomyces_viscosus"	NA
"Adlercreutzia_equolifaciens"	2
"Aerococcus_viridans"	1
"Aeromonas_caviae"	1
"Aeromonas_hydrophila"	10
"Aeromonas_jandaei"	1
"Aeromonas_media"	NA
"Aeromonas_veronii"	10
"Afipia_birgiae"	1
"Aggregatibacter_aphrophilus"	6
"Agrobacterium_tumefaciens"	NA
"Akkermansia_muciniphila"	3
"Alcaligenes_faecalis"	1
"Alistipes_finegoldii"	2
"Alistipes_indistinctus"	1
"Alistipes_onderdonkii"	NA
"Alistipes_putredinis"	NA
"Alistipes_shahii"	1
"Alloprevotella_tannerae"	NA
"Anaerobaculum_hydrogeniformans"	2
"Anaerobiospirillum_succiniciproducens"	NA
"Anaerococcus_hydrogenalis"	1
"Anaerococcus_prevotii"	4
"Anaerococcus_vaginalis"	NA
"Anaerofustis_stercorihominis"	2
"Anaerostipes_caccae"	6
"Anaerostipes_hadrus"	1
"Anaerostipes_sp"	1
"Anaerotruncus_colihominis"	4
"Aneurinibacillus_aneurinilyticus"	1
"Arcanobacterium_haemolyticum"	4
"Arcobacter_butzleri"	5
"Arthrobacter_castelli"	NA
"Atopobium_minutum"	2
"Atopobium_parvulum"	1
"Atopobium_rimae"	1
"Bacillus_altitudinis"	1
"Bacillus_amyloliquefaciens"	NA
"Bacillus_atrophaeus"	1
"Bacillus_cereus"	13.5
"Bacillus_clausii"	7
"Bacillus_endophyticus"	1
"Bacillus_firmus"	1
"Bacillus_flexus"	0
"Bacillus_fordii"	NA
"Bacillus_halodurans"	8
"Bacillus_infantis"	9
"Bacillus_licheniformis"	NA
"Bacillus_megaterium"	NA
"Bacillus_mojavensis"	NA
"Bacillus_mycoides"	NA
"Bacillus_nealsonii"	1
"Bacillus_pseudofirmus"	7
"Bacillus_pumilus"	4
"Bacillus_sonorensis"	1
"Bacillus_subtilis"	NA
"Bacillus_thermoamylovorans"	0
"Bacillus_thuringiensis"	NA
"Bacillus_timonensis"	NA
"Bacillus_vallismortis"	10
"Bacteroides_caccae"	5
"Bacteroides_cellulosilyticus"	1
"Bacteroides_clarus"	1
"Bacteroides_coprocola"	5
"Bacteroides_coprophilus"	1
"Bacteroides_dorei"	1
"Bacteroides_eggerthii"	1
"Bacteroides_faecis"	1
"Bacteroides_finegoldii"	1
"Bacteroides_fluxus"	1
"Bacteroides_fragilis"	4.75
"Bacteroides_graminisolvens"	NA
"Bacteroides_intestinalis"	4
"Bacteroides_massiliensis"	2
"Bacteroides_nordii"	5
"Bacteroides_oleiciplenus"	2
"Bacteroides_ovatus"	1.66666666666667
"Bacteroides_pectinophilus"	2
"Bacteroides_plebeius"	3
"Bacteroides_pyogenes"	NA
"Bacteroides_salyersiae"	4
"Bacteroides_sp"	0.95
"Bacteroides_stercoris"	5
"Bacteroides_thetaiotaomicron"	5
"Bacteroides_timonensis"	0
"Bacteroides_uniformis"	4
"Bacteroides_ureolyticus"	NA
"Bacteroides_vulgatus"	7
"Bacteroides_xylanisolvens"	0.5
"Barnesiella_intestinihominis"	4
"Bartonella_quintana"	2
"Bifidobacterium_adolescentis"	5
"Bifidobacterium_angulatum"	1
"Bifidobacterium_animalis"	3.71428571428571
"Bifidobacterium_bifidum"	2.5
"Bifidobacterium_boum"	NA
"Bifidobacterium_breve"	2
"Bifidobacterium_catenulatum"	1
"Bifidobacterium_coryneforme"	3
"Bifidobacterium_dentium"	4
"Bifidobacterium_gallicum"	1
"Bifidobacterium_kashiwanohense"	1
"Bifidobacterium_longum"	3
"Bifidobacterium_mongoliense"	1
"Bifidobacterium_pseudocatenulatum"	2
"Bifidobacterium_pseudolongum"	NA
"Bifidobacterium_ruminantium"	NA
"Bifidobacterium_scardovii"	1
"Bifidobacterium_stercoris"	2
"Bifidobacterium_thermacidophilum"	1
"Bifidobacterium_thermophilum"	4
"Bilophila_wadsworthia"	4
"Blastococcus_massiliensis"	1
"Blautia_hansenii"	2
"Blautia_hydrogenotrophica"	1
"Blautia_obeum"	NA
"Blautia_producta"	NA
"Blautia_wexlerae"	NA
"Bordetella_hinzii"	NA
"Brachybacterium_paraconglomeratum"	1
"Brachyspira_pilosicoli"	1
"Bradyrhizobium_elkanii"	NA
"Bradyrhizobium_japonicum"	NA
"Brevibacillus_agri"	1
"Brevibacillus_borstelensis"	1
"Brevibacillus_brevis"	15
"Brevibacterium_casei"	NA
"Brevibacterium_linens"	1
"Brevibacterium_massiliense"	1
"Brevundimonas_bacteroides"	NA
"Brevundimonas_diminuta"	1
"Brochothrix_thermosphacta"	NA
"Bulleidia_extructa"	1
"Burkholderia_cepacia"	2
"Burkholderiales_bacterium"	1
"Butyricicoccus_pullicaecorum"	4
"Butyricimonas_synergistica"	NA
"Butyricimonas_virosa"	NA
"Butyrivibrio_crossotus"	1
"Butyrivibrio_fibrisolvens"	0
"Campylobacter_coli"	1
"Campylobacter_concisus"	3
"Campylobacter_curvus"	3
"Campylobacter_fetus"	3
"Campylobacter_gracilis"	1
"Campylobacter_hominis"	3
"Campylobacter_hyointestinalis"	NA
"Campylobacter_jejuni"	2.5
"Campylobacter_lari"	3
"Campylobacter_rectus"	1
"Campylobacter_showae"	1
"Campylobacter_upsaliensis"	1
"Candidatus_Nitrososphaera"	NA
"Capnocytophaga_granulosa"	1
"Capnocytophaga_ochracea"	4
"Capnocytophaga_sputigena"	1
"Catenibacterium_mitsuokai"	1
"Cedecea_davisae"	1
"Cellulosilyticum_lentocellum"	NA
"Cellulosimicrobium_cellulans"	1
"Cetobacterium_somerae"	1
"Citrobacter_amalonaticus"	1
"Citrobacter_freundii"	5
"Citrobacter_koseri"	7
"Citrobacter_sp"	1
"Citrobacter_youngae"	2
"Cloacibacillus_evryensis"	NA
"Clostridiales_sp"	1
"Clostridium_acetobutylicum"	NA
"Clostridium_asparagiforme"	1
"Clostridium_bartlettii"	6
"Clostridium_beijerinckii"	14
"Clostridium_bifermentans"	NA
"Clostridium_bolteae"	1
"Clostridium_botulinum"	10.8333333333333
"Clostridium_butyricum"	6.5
"Clostridium_cadaveris"	NA
"Clostridium_celatum"	NA
"Clostridium_cellobioparum"	NA
"Clostridium_citroniae"	1
"Clostridium_clariflavum"	6
"Clostridium_clostridioforme"	6
"Clostridium_difficile"	5.25
"Clostridium_glycolicum"	NA
"Clostridium_hathewayi"	2
"Clostridium_hiranonis"	1
