organism	Number of KO function	Number of EC number function	class	Class
Micromonospora_aurantiaca_ATCC_27029	890	618	Actinobacteria	Actinobacteria
Bifidobacterium_bifidum_NCIMB_41171	554	342	Actinobacteria	Actinobacteria
Bifidobacterium_bifidum_PRL2010	584	343	Actinobacteria	Actinobacteria
Bifidobacterium_bifidum_S17	587	345	Actinobacteria	Actinobacteria
Bifidobacterium_boum_DSM_20432	615	420	Actinobacteria	Actinobacteria
Bifidobacterium_breve_HPH0326	590	359	Actinobacteria	Actinobacteria
Bifidobacterium_breve_UCC2003_NCIMB8807	583	350	Actinobacteria	Actinobacteria
Bifidobacterium_catenulatum_DSM_16992	549	352	Actinobacteria	Actinobacteria
Bifidobacterium_coryneforme_DSM_20216	551	400	Actinobacteria	Actinobacteria
Bifidobacterium_dentium_ATCC_27678	616	372	Actinobacteria	Actinobacteria
Bifidobacterium_gallicum_DSM_20093	514	344	Actinobacteria	Actinobacteria
Bifidobacterium_kashiwanohense_DSM_21854	643	431	Actinobacteria	Actinobacteria
Bifidobacterium_longum_DJO10A	586	364	Actinobacteria	Actinobacteria
Bifidobacterium_longum_E18	570	349	Actinobacteria	Actinobacteria
Bifidobacterium_longum_infantis_157F_NC	559	362	Actinobacteria	Actinobacteria
Bifidobacterium_longum_infantis_ATCC_15697	568	369	Actinobacteria	Actinobacteria
Bifidobacterium_longum_longum_ATCC_55813	556	360	Actinobacteria	Actinobacteria
Bifidobacterium_longum_longum_BBMN68	601	369	Actinobacteria	Actinobacteria
Bifidobacterium_longum_longum_CCUG_52486	555	360	Actinobacteria	Actinobacteria
Bifidobacterium_longum_longum_JCM_1217	596	361	Actinobacteria	Actinobacteria
Bifidobacterium_longum_longum_JDM301	610	367	Actinobacteria	Actinobacteria
Bifidobacterium_longum_NCC2705	540	359	Actinobacteria	Actinobacteria
Gordonia_terrae_NBRC_100016	936	621	Actinobacteria	Actinobacteria
Gordonia_terrae_C_6	913	599	Actinobacteria	Actinobacteria
Gordonia_rubripertincta_NBRC_101908	910	601	Actinobacteria	Actinobacteria
Arthrobacter_castelli_DSM_16402	950	644	Actinobacteria	Actinobacteria
Arcanobacterium_haemolyticum_DSM_20595	567	379	Actinobacteria	Actinobacteria
Bifidobacterium_mongoliense_DSM_21395	646	432	Actinobacteria	Actinobacteria
Bifidobacterium_pseudocatenulatum_DSM_20438	563	358	Actinobacteria	Actinobacteria
