ASV.ID	kingdom	phylum	class	order	family	genus	species	Confidence
8d89a92056a57d54ee8f6607f5c66415	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus	gnavus	0.9997447896461712
4555f0437444186a0ff6fffd14bb15b6	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia		0.9999811825688992
ec9d04c5b02827e2a3eed92da6866325	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae			0.9999999999961036
cbe74193c77dbcc6da71c8e68c3b7ec4	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		0.996667138822654
0243391c61e8633744d1a2689f9e8ba7	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	longum	0.9987906424801544
18cf19b4c201e637cbf7876f8e8b152e	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus		0.9999948411774309
dc2e889bbfc192bc14953cebe91f8c44	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	breve	0.9972556842405332
62f1d9ee06fd31b2c1a0337955e24c13	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	alactolyticus	0.7233789474066368
b2d359ad4ad2b7b2a01bb184aa10ed43	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	muciniphila	0.9999999999992896
dceb84efdba0c4e6494ac063850071cd	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	muciniphila	0.9999999999999716
eecd2f3e7f0f219f689abf20460e0090	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Clostridium	ramosum	0.9999691019790302
820690c9a0ad2be19fa8e4cbeb10d6ae	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	bifidum	0.9971084848673858
ba5bddf9b1e1b14b8577aa69cf28b006	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	longum	0.9982246507469784
809e411138fc0e3495624cbaadef1feb	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	breve	0.9870863449791484
773421f24cba8192a34c3d26d17763be	Bacteria	Firmicutes	Clostridia	Clostridiales				0.9999999999990428
8844e93b2c81535aa314fdef7402bb0a	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	breve	0.9716702762978484
b0f942ec92e10efaa6bc5e33ee77f10c	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia		0.9548088873191862
d7a02fd1614d7c3561479441c4cffbfa	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	fragilis	0.9999825487270672
303b4399fa0d6d2b6954534c950afc8b	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus		0.8324739399100041
23943889a71d7b9a57d0b4dd1d2151c8	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	zeae	0.999999317948612
ff5ffda9b02c4f6d1f393134ecbccfdb	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	muciniphila	0.9999999999987352
a70cdff4a7d61517d0406df32b6a4502	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus		0.7381146542085871
99861426e0df256d9df8fc4f13bebe2b	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		0.9999972920196571
b60c65717e0a4ca49e920673920a8844	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea		0.9899558825006406
c4f9406b24201655f2e48855ba92d425	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	luteciae	0.8914060403261284
209905bac48b8db2c9b1e05beecc0cbc	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	dispar	0.9527581174147508
b10b4c36928abf44d6e9d285d39deca8	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	breve	0.9718603414099279
3e2f873bf9d65525397f62446ce06536	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	adolescentis	0.9867556500417424
f1b3ba7708b042c166cd9f71aebabc50	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	producta	0.995568791713072
df8c7a8a7b79ddc530364ac7ef34665e	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	longicatena	0.8272355430160465
aba034385f2331cfe4c5ff88c65025f8	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	mucosae	0.9999981626794576
d5ce6cbd2ab53a91c77838897a2a175d	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus		0.99708652551985
2f5b378576362d58f81800f322507780	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus		0.8653992123805423
6e7337485521546f667ee966f66886c9	Bacteria	Firmicutes	Clostridia	Clostridiales				0.9999999999941658
1def8230024be2c71bef0647020753da	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	zeae	0.9999963378218392
fc6e85fde67b2367bd635609fd085d81	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	casseliflavus	0.7307973993424988
7b7bcad4c8a1802b5736f534ae16fd4d	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus		0.9992021115415876
cc5bf5a84229652643b676b86a0a7bd7	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus		0.9997087033541352
95701954a802e739d70fd236601116d9	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter		0.8674995119692799
80a093f8e25cda571d80b6a06386866a	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	coli	0.8067718085045259
219915cba182f8e23144779b7e5dd9f2	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Gemmiger	formicilis	0.9524596601606258
ed1bf6e92b309282f27418a654522d06	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	producta	0.9987310582088588
f68ebb9111c08f5423c18fa0e2f26e58	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea		0.9867783020969508
b98ea3076173fdbc36d8d938abe47a0e	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Pseudoramibacter_Eubacterium		0.9999999948458936
a0d443ad09266f765b0506de8de16abc	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella		0.7259981568299835
5cbfcaddf17324c87399b1117d246825	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	fragilis	0.9999997949464824
058e29e81efb3aae399048b70c8541ad	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus	gnavus	0.9996940614095068
f7d7a3ff709ee2c841e25a992984fe39	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus		0.8178046404171786
b2fea132d624c27ce2d4461a4cf784f0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea		0.7893401348622653
a5df287ad2afccf889cd6312a5820cb0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		0.9984805604815332
78f829ad762f59a0fb9739ae5cd64435	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		0.9981328761935716
0c2d17693176a48e8fc99be065b91f9e	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Eubacterium	dolichum	0.9999999999962624
5d41758f4c2942508f0fa3c1dd2d0f8c	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium	hathewayi	0.999856367313546
8084bef50a52eade9117f83b130d02a1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus		0.9999923330241562
03e14580a4ea4d6e7e14f407a2ef6f2c	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	zeae	0.9999968019029076
e3a2e7cfee35fe80b8c6575501be6f3f	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	casseliflavus	0.7015434861022968
079b64047290ff423d680d4856c8a0a8	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Eubacterium	dolichum	0.9999999999882192
3bbe8bf2ad71a6e13fa149c22ec9e058	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia		0.9999776989368848
7a77bb242ded43f549bd940d616b524d	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	fragilis	0.9999998070258772
5de82305f65a04338abb7ebc10084e49	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella		0.7298977466125154
4c01c35c7084c20c13a10490de27ee5d	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus		0.8855993115758033
0c8c0d191157ec181ef3f977ec0d0f07	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus		0.9989507369505176
0d9f06a69c3dbde821eaa8dc6402602b	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia		0.8501823493194295
b399114d69f83439bbfe60f1acf3e77c	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia		0.9999695080560632
35fafce928dc59653ba06addcad00f62	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia	muciniphila	0.9999999999990904
7b4e9daf922aa430624b639935f552b5	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter		0.7844891190793798
8564fc317b315ba564e743b0c2d4ad66	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus		0.9992182131792492
00b6b67cdcd86d35f7a4a12e451e07b9	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Clostridium	clostridioforme	0.7193504544947497
0da934f195146062c4dcefd99137a023	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		0.9999999786798244
0b3752e657198019b8cc5b76d60f8c6c	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	garvieae	0.9999540970072576
922720bdaed88cfa988a16d407f018aa	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	reuteri	0.893334279384712
3bffec1d4e4d043808ee908957de2929	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	dispar	0.998918378149362
ab4d0c23cc9bbb6c40344f8ec5f523d6	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	prausnitzii	0.999819869021968
100e835fe9f25ff092068530d916a8ef	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae			0.9430615320824142
8051f5ff7dfff43f8337947e6d1dbc87	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		0.9169082806148218
6aeda0f830da174da2d449ff94f03d3c	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus		0.9591371538984264
27db896c70df56b4561ade676adcbe87	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	adolescentis	0.8692215472446444
59cffebe89bbdfc3088931fd5f19d174	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	salivarius	0.9999978028161232
787fd16de5590d25608ca0d9e960fb1f	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.8970493273316258
f6a13bbdeacf324c5a2088a0fd4326a9	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	celatum	0.7459201228641245
467de109076727cd70009f9ea6667796	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia		0.9879745325656532
f0dca6705ca1fe1fc070203313fff477	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	perfringens	0.9999730742782864
3a338057c4ab31e9c0ac86df5b252cd5	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	formicigenerans	0.9987615007780946
074ac8912ab27c5ddcdadf886fd5daba	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae			0.99999998675379
dc273fd0c4b6d82f2f0c43a59c0f8d6d	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus		0.9989676986298692
78683a750d4837a60ca3dd4b700bf161	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella		0.9999998841145792
88aadb4a0df87aa01f3f2aa8a2eb21cc	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uniformis	0.999942453964524
6a51e285f1b623e7a952d9f484ad9ce8	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus		0.9135545640082916
f50efbe45c786c8e6c5d4f5491e04385	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus		0.9998363073221476
bb2d4b63f0e7793d7ac5632211e8a1e7	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia		0.999938964343876
adc0718d53708e7bcbe357846a012106	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	infantis	0.7462243621372242
46d76ca7523fae20765b271529e1b7aa	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	prausnitzii	0.9996492451440062
c4afc26353f5e4b2f2ac3dfa0e7382e3	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Acidaminococcus		0.9999997221803584
3c3a2810046a6ca2c8b258fc64ffd699	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		0.9988623012663396
9552e770bffb4af3013bca177ef25930	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		0.9999999998570628
f8ff06d69d4340766ed25f8dd1181526	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	fragilis	0.9999473819384688
0156ccb3b8755a7b2898c5424f9ed5d4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus		0.7240051539594949
97779be48824bcf894177e56a3f30a89	Bacteria	Firmicutes	Clostridia	Clostridiales				0.9994748526170918
4f38ad9721ab4513163f3c5eb1ef1428	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus		0.9969880104892268
ac5e28454c8cd8f28d3b15af9ab25e4a	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Acidaminococcus		0.9999996130736302
b326f3599a22c5f252e8b8fe48a84fa4	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	dispar	0.9988100408499092
c43ca191ed62b693383009efdadc6560	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella		0.9999999996942256
2ca5ba572ca3d1f06ebdc2e246d09787	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter		0.7791024363086191
2c8af13761fca5a30787cc36a064e56f	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Robinsoniella	peoriensis	0.9928774623457142
4c8d965b0c5b6006a934a629d814e400	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus	gnavus	0.9996779276099904
0ec39ee36b14e840d6298697b23ef30c	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia		0.9895077142850388
